,city,position,company_name,company_size,company_type,salary,education,ability,experience
52,成都,数据分析师,成都博为峰软件技术有限公司,100-299人,民营,8千-1万,大专,数据建模 Python 商业分析 数据仓库 大数据分析 爬虫 商业数据分析 舆情分析 ,无经验
53,成都,数据分析师,成都拓普颐德科技有限公司,20-99人,民营,4千-6千,大专,数据分析 ,1-3年
54,成都-郫都区,数据分析师,台州市大数据发展有限公司,100-299人,国企,1.3万-1.8万,硕士,Hadoop Spark BI 数据分析 数据挖掘 数据清洗 大数据分析 需求分析 ,1-3年
55,成都-锦江区,数据分析师,思特奇,1000-9999人,上市公司,1万-1.5万,本科,SQL 商业分析 数据挖掘 ,不限
56,成都-武侯区,数据分析师,人瑞人力资源服务,1000-9999人,民营,5千-8千,本科,数据仓库 数据分析 数据架构 DBA CASSANDRS DB2 ,不限
57,成都,资深数据分析师,北京字节跳动科技有限公司,10000人以上,民营,7千-1.4万,本科,,3-5年
58,成都,数据分析师,麻辣空间,1000-9999人,民营,6千-1.2万,本科,数据统计分析 office powerpoint/ppt ,3-5年
59,成都-高新区,数据分析师,亿达信息技术有限公司成都分公司,1000-9999人,民营,8千-1万,本科,SQL 行业数据分析 游戏数据运营 ,1-3年
60,成都-武侯区,数据分析师,金海智业(深圳)基金管理有限公司,100-299人,民营,1万-1.5万,本科,经济分析 投资学 量化分析 ,1-3年
61,成都-高新区,数据分析师,人瑞人力资源服务,1000-9999人,民营,4千-8千,本科,数据挖掘 搜索 数据库开发 数据分析 ,1-3年
62,成都-青羊区,数据分析师,上海直真君智,20-99人,合资,8千-1.5万,本科,数据分析 BI SQL ,1-3年
63,成都-天府新区,数据分析师,海康威视,10000人以上,上市公司,1.5万-2.5万,本科,,3-5年
64,成都,数据分析师（带薪培训）,成都九龙医院有限公司,100-299人,医院,3千-5千,本科,统计学 经济学 市场营销 用户研究 数据统计分析 数据挖掘 ,不限
65,成都-天府新区,医学信息/数据分析师（研发岗）,四川医枢科技股份有限公司,20-99人,股份制企业,8千-1.6万,硕士,临床研究 数据分析 医学专业英语 论文撰写 ,不限
66,成都,数据分析师,四川易初明通工程机械维修服务有限公司,1000-9999人,外商独资,6千-8千,本科,数据分析 商业数据分析 excel ,1-3年
67,成都,数据分析师,北京字节跳动科技有限公司,10000人以上,民营,2.5万-5万,本科,,5-10年
68,成都-双流区,数据分析师（财务方向）,顺丰速运,20-99人,民营,7千-1.1万,本科,财务分析 业务分析 分析报告 ,1-3年
69,成都,综合数据分析师,清环智源(北京)科技有限公司,20-99人,民营,5千-1万,硕士,数据处理 数据分析 行业分析 ,不限
70,成都-龙泉驿区,金融产品培训讲师+数据分析师,中国平安人寿保险股份有限公司四川分公司卓晋团队,1000-9999人,上市公司,6千-8千,大专,数据统计分析 ,1-3年
71,成都-青羊区,数据分析师,好医生集团,10000人以上,民营,8千-1.5万,大专,数据分析 Python ,3-5年
72,成都-龙泉驿区,数据分析员 ,成都天符人瑞教育咨询有限公司,1000-9999人,民营,6千-8千,大专,需求分析 ,不限
73,成都,数据分析师,成都蜀大侠餐饮管理有限公司,1000-9999人,民营,5千-6千,大专,财务分析 ,1-3年
74,成都,数据分析师,成都龙湖物业服务有限公司,1000-9999人,股份制企业,4千-6千,本科,推广数据运营 行业数据分析 数据仓库建模 ,1年以下
75,成都-武侯区,数据分析师,思极星能科技(四川)有限公司,100-299人,合资,6千-1万,大专,SQL ETL 数据分析 大数据采集 数据治理 ,1-3年
76,成都-高新西区,数据分析工程师,成都达巴科技有限公司,20-99人,民营,6千-8千,大专,数据分析 ,不限
77,成都-金牛区,数据分析文员（双休+五险一金+带薪年假）,成都天符人瑞教育咨询有限公司,1000-9999人,民营,4千-6千,大专,数据分析 ,不限
78,成都-武侯区,数据分析,金海智业(深圳)基金管理有限公司,100-299人,民营,6千-1.2万,大专,量化分析 ,1年以下
79,成都-高新区,药学数据分析师\信息研究员,成都健数科技有限公司,20-99人,民营,6千-1万,本科,数据统计分析 药学 信息研究 药物 ,1-3年
